City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Tuktoyaktuk,CA,2022-07-22 02:10:32,69.4541,-133.0374,58.96,67,53,8.41,broken clouds
193,Wetaskiwin,CA,2022-07-22 02:18:15,52.9668,-113.3687,72.88,71,92,3.06,overcast clouds
194,Barabinsk,RU,2022-07-22 02:18:15,55.3571,78.357,59.13,91,85,11.86,overcast clouds
195,Ribeira Grande,PT,2022-07-22 02:09:45,38.5167,-28.7,72.54,88,38,2.82,scattered clouds
196,Kodiak,US,2022-07-22 02:09:34,57.79,-152.4072,54.91,82,100,5.75,overcast clouds
197,Antsohihy,MG,2022-07-22 02:10:33,-14.8796,47.9875,68.43,62,0,9.1,clear sky
198,Zholymbet,KZ,2022-07-22 02:18:16,51.7433,71.7122,63.88,62,0,12.08,clear sky
199,Hithadhoo,MV,2022-07-22 02:09:58,-0.6,73.0833,78.17,85,100,13.13,overcast clouds
200,Kiama,AU,2022-07-22 02:16:08,-34.6833,150.8667,63.57,85,71,1.99,broken clouds
201,East London,ZA,2022-07-22 02:10:24,-33.0153,27.9116,57.18,78,0,8.32,clear sky
202,Lekoni,GA,2022-07-22 02:18:17,-1.5843,14.2591,74.37,73,64,6.69,broken clouds
203,Angoram,PG,2022-07-22 02:18:17,-4.0625,144.0661,89.28,56,99,2.35,overcast clouds
204,Black River,JM,2022-07-22 02:18:17,18.0264,-77.8487,80.44,76,8,5.59,clear sky
205,Lompoc,US,2022-07-22 02:10:56,34.6391,-120.4579,65.84,84,100,15.99,mist
206,Souillac,MU,2022-07-22 02:10:23,-20.5167,57.5167,69.75,69,29,14.05,scattered clouds
207,Ranong,TH,2022-07-22 02:18:18,9.9658,98.6348,75.13,80,100,3.29,light rain
208,Alice Springs,AU,2022-07-22 02:14:51,-23.7,133.8833,67.55,22,0,4.61,clear sky
209,Urumqi,CN,2022-07-22 02:12:30,43.801,87.6005,81.55,20,0,4.47,clear sky
210,Araouane,ML,2022-07-22 02:15:43,18.9048,-3.5265,90.81,41,28,6.08,scattered clouds
211,Mahibadhoo,MV,2022-07-22 02:18:18,3.7833,72.9667,82.81,74,95,22.17,overcast clouds
212,Padang,ID,2022-07-22 02:13:05,-0.9492,100.3543,78.85,71,81,1.23,broken clouds
213,Kirakira,SB,2022-07-22 02:10:48,-10.4544,161.9205,84.45,70,100,5.1,overcast clouds
214,Atar,MR,2022-07-22 02:18:19,20.5169,-13.0499,89.82,38,4,4.94,clear sky
215,Solnechnyy,RU,2022-07-22 02:11:42,50.7214,136.6319,55.44,94,100,7.65,overcast clouds
216,Senaki,GE,2022-07-22 02:18:19,42.2704,42.0675,66.29,98,100,4.23,overcast clouds
217,Pacific Grove,US,2022-07-22 02:11:29,36.6177,-121.9166,73.24,85,40,9.22,scattered clouds
218,Luganville,VU,2022-07-22 02:18:20,-15.5333,167.1667,82.8,73,61,6.91,broken clouds
219,Sokoni,TZ,2022-07-22 02:18:20,-6.4333,39.55,75.43,72,2,14.92,clear sky
220,Nome,US,2022-07-22 02:16:02,64.5011,-165.4064,50.07,81,100,13.8,overcast clouds
221,Richmond,US,2022-07-22 02:18:13,37.5538,-77.4603,79.99,86,75,6.91,broken clouds
222,Laurel,US,2022-07-22 02:09:22,39.0993,-76.8483,84.38,86,40,3.44,scattered clouds
223,Tulum,MX,2022-07-22 02:18:21,20.2167,-87.4667,79.74,83,5,5.82,clear sky
224,Kavieng,PG,2022-07-22 02:06:42,-2.5744,150.7967,82.4,76,100,11.1,light rain
225,Jashpurnagar,IN,2022-07-22 02:18:22,22.9,84.15,77.25,80,100,3.04,overcast clouds
226,Khatanga,RU,2022-07-22 02:10:05,71.9667,102.5,59.16,60,100,10.56,overcast clouds
227,Moroni,KM,2022-07-22 02:15:44,-11.7022,43.2551,73.44,72,7,7.34,clear sky
228,Saint-Augustin,CA,2022-07-22 02:09:43,51.226,-58.6502,62.73,65,96,6.2,overcast clouds
229,Rafai,CF,2022-07-22 02:18:22,4.95,23.9167,68.43,100,100,1.88,light rain
230,Sao Filipe,CV,2022-07-22 02:10:12,14.8961,-24.4956,74.03,89,80,5.53,broken clouds
231,Pechenga,RU,2022-07-22 02:18:23,69.5259,31.1703,58.59,93,100,7.14,overcast clouds
232,Coihaique,CL,2022-07-22 02:11:53,-45.5752,-72.0662,26.55,93,20,0.0,few clouds
233,Namatanai,PG,2022-07-22 02:10:06,-3.6667,152.4333,84.47,69,96,5.68,overcast clouds
234,Hambantota,LK,2022-07-22 02:11:33,6.1241,81.1185,79.61,80,100,17.69,overcast clouds
235,Crepaja,RS,2022-07-22 02:18:23,45.0094,20.6356,70.92,44,6,3.56,clear sky
236,Umm Kaddadah,SD,2022-07-22 02:18:24,13.6017,26.6876,76.46,58,70,7.05,broken clouds
237,San Borja,BO,2022-07-22 02:18:24,-14.8167,-66.85,71.65,65,9,2.42,clear sky
238,Guerrero Negro,MX,2022-07-22 02:05:24,27.9769,-114.0611,69.73,77,0,20.07,clear sky
239,Victoria,HK,2022-07-22 02:07:52,22.2855,114.1577,91.26,74,0,5.01,clear sky
240,Santa Fe,AR,2022-07-22 02:09:47,-31.6333,-60.7,59.02,84,100,4.0,light rain
